Vendor_Formal_Name,Contact_Name,certification,Cert_Renewal_Date,Ethnicity,Address1,Address2,City,Borough,State,ZIP,MailingAddress1,MailingAddress2,MailingCity,MailingState,MailingZip,Website,Date_Of_Establishment,Aggregate_Bonding_Limit,Signatory_To_Union_Contracts,Business_Description,Goods_Materials_Suplier,Types_of_Construction_Projects,Job_Exp1_Name_of_Client,Job_Exp1_Value_of_Contract,Job_Exp1_Percent_Self_Performed,DATEOFJOB1,EXPERIENCE1,Job_Exp2_Name_of_Client,Job_Exp2_Value_of_Contract,Job_Exp2_Percent_Self_Performed,DATEOFJOB2,EXPERIENCE2,Job_Exp3_Name_of_Client,Job_Exp3_Value_of_Contract,Job_Exp3_Percent_Self_Performed,DATEOFJOB3,EXPERIENCE3,Job_Exp4_Name_of_Client,Job_Exp4_Value_of_Contract,,DATEOFJOB4,EXPERIENCE4
"Mr. Hudson's Cleaning Service, LLC",David Wiltshire-Craine,MBE,2/27/2020,BLACK,40 West 116th Street,Suite A604,New York,Manhattan,NY,10026,P.O. Box 1033,,New York,New York,10024,http://www.mrhudsoncleaning.com,02-08-2013,,,"We provide janitorial services for Manhattan, Brooklyn, Queens and the Bronx.  Services include general cleaning, post-construction and post-renovation cleaning, and green cleaning. We offer 40 + years combined business management experience, commitment to superior quality, customer-centered service and being eco-friendly.  Experience includes mid-to-large offices, theaters, banks, schools and bio-technology.",,,,0,,,,,0,,,,,0,,,,,0,,,
"With Projects, Inc.",Jiminie Ha,"MBE,WBE",12/30/2022;12/30/2022,ASIAN,203 Lafayette Street,Suite C306,New York,Manhattan,NY,10012,465 West 23 Street 8G,Suite 8G,New York,New York,10011,http://www.withprojects.org,07-11-2011,,,"We provide branding, advertising and creative services for companies in the arts, culture, fashion, design, real estate, beauty sectors.",,,Conde Nast,0,75,04-11-2017,Campaign creative and video,Conde Nast,0,100,2/23/2017,Presentation templates and animations,Johnson & Johnson,0,100,11-01-2017,Photo Art Direction,,0,,6/30/2016,Advertising in our various printed publications
"Parver Schwartz Integrity Compliance, LLC",Deborah Schwartz,WBE,,NON-MINORITY,551 Madison Avenue,11th Floor,New York,Manhattan,NY,10022,551 Madison Avenue,11th Floor,New York,New York,10022,,01-03-2017,,,Court ordered or voluntary integrity monitors to ensure compliance by vendors and other entities with contracts and agreements with NYC and other government or private entities.,,,,0,,,,,0,,,,,0,,,,,0,,12-01-2013,Created & baked signature brioche bun for their meatball sandwich & delivered to store location.
"The Pekoe Group, Inc.",Amanda Pekoe,WBE,,NON-MINORITY,"1460 Broadway, 8th FL",,New York,Manhattan,NY,10036,"1460 Broadway, 8th FL",,New York,New York,10036,http://www.thepekoegroup.com,2/25/2009,,,"The Pekoe Group, founded in 2009, is a full-service boutique advertising agency located in Times Square. We handle all aspects of strategic marketing campaigns, including: Graphic Design, Web Development, Design Production, Video Editing, Media Planning, Media Buying, Social Media Content and Fan Engagement, Digital Advertising Implementation and Reporting, Promotional Partnerships and Grassroots Promotions. At The Pekoe Group, our dedicated, cutting-edge team is always looking for new ways to elevate the standard of delivering lucrative and inventive marketing and media solutions to our clients. Our success has been driven by our standard of excellence and penchant for innovation, qualities that have been recognized by BNET and Fast Company's Innovation Agents series.",,,Brooklyn Botanic Garden,0,100,10/24/2017,Advertising and Marketing Services,"In & Of Itself, LLC",0,100,10/24/2017,"Advertising, Marketing, and Graphic Design Services","The View Upstairs, LLC",0,100,12-05-2016,"Advertising, Marketing, and Graphic Design Services","Turn Me Loose, LLC",0,,,
Mood of Living,Kate Moodie Bizalion,WBE,,NON-MINORITY,27 West 96th Street,PHW,New York,Manhattan,NY,10025,27 West 96th Street,PHW,New York,New York,10025,http://www.moodofliving.com,09-01-2014,,,"Mood of Living Lifestyle online digital magazine, social self conscious magazine for men and women seeking a high quality and meaningful life.",,,,0,,,,,0,,,,,0,,,,,0,,,
FiBrick Financial Services,Ramona Cedeno,"MBE,WBE",12/30/2022;12/30/2022,HISPANIC,"349 5th Avenue, Suite 629",,New York,Manhattan,NY,10016,"349 5th Avenue, Suite 629",,New York,New York,10016,http://www.fibrickfinancialservices.com/,10/13/2015,,,"At FiBrick Financial Services, we work side-by-side with our clients to help address their short and long term accounting and tax planning needs, while considering their individual vision of success, and structuring a roadmap towards achieving these goals.",,,Study Abroad Apartment,0,,5/25/2016,Ongoing monthly accounting and bookkeeping services,Community Health Action of Staten Island,0,,12-12-2016,ongoing monthly accounting and bookkeeping services,Share Local Media,0,,10/19/2016,ongoing monthly accounting and bookkeeping services,,0,,,
Villy Pharmacy Inc.,Lilly Gar Lam Tsien,"MBE,WBE",12/30/2022;12/30/2022,ASIAN,179 Grand Street,,New York,Manhattan,NY,10013,179 Grand Street,,New York,New York,10013,,01-05-1996,,,"We're doing business as a pharmacy, mainly dispense prescription drugs and sell over the counter medications. We also sell Health & Beauty products.",,,,0,,,,,0,,,,,0,,,,,0,,,
"The Williams Capital Group, L.P.",Melissa Rowe,MBE,12/31/2017,BLACK,650 Fifth Avenue,9th Floor,New York,Manhattan,NY,10019,650 Fifth Avenue,11th Floor,New York,New York,10019,http://www.willcap.com,11-01-1993,500000,,"The Williams Capital Group L.P. ('Williams Capital or 'WCG') is a investment bank that serves institutional investors, corporations, U.S. government agencies, states and municipalities in the fixed income and equity capital markets. The firm is registered with the SEC, FINRA, MSRB, BATS, ARCA, NASDAQ and SIPC. It's primary areas of business include corporate and municipal debt and equity underwriting, secondary market trading, distribution of money market instruments, government agency notes, corporate and municipal debt equity research and stock repurchase. In addition, WCG provides asset management services through its wholly-owned subsidiary, Williams Capital Management, LLC.",,,,0,,,,,0,,,,,0,,,,,0,,,
Bellwether Capital Management LP,Aidan Doyle,MBE,11/29/2022,BLACK,110 Wall Street,6th Floor,New York,Manhattan,NY,10005,110 Wall Street,6th Floor,New York,New York,10005,http://www.bellwether.capital,11-04-2002,,,"Bellweather Capital Management LP is a State Registered Investment Adviser designed to objectively provide financial advice and money management without conflict of interest to commercial, not for profit and government organizations including private and public equity and debt investment services.",,,,0,,,,,0,,,,,0,,,,,0,,02-01-2015,Interior buildout of showroom product area and 2 bathrooms
Supertech Systems,Yinka Fayanju,"MBE,WBE",12/30/2022;12/30/2022,BLACK,100 Riverside Blvd,Unit 4E,New York,Manhattan,NY,10069,"100 Riverside Blvd, unit 4E",Unit 4E,New York,New York,10069,http://www.supertechsystem.net,3/14/2003,,,"1.Project management:contract administration,prepare & edit Master Agreements,Task Orders. change orders  2. Business Accounting:Billing / Invoice preparation, fiscal audits,budget management, accounts reconciliation, A/P and A/R processing.  3. Computer consulting - application software and computer peripheral equipments supplier",,,,0,,,,,0,,,,,0,,,,,0,,,
"Terrain-NYC, Inc.",Steven Tupu,MBE,1/23/2018,ASIAN,200 Park Avenue South,Suite 1401,New York,Manhattan,NY,10003,200 Park Avenue South,Suite 1401,New York,New York,10003,http://www.terrain.nyc.net,11/19/2004,,,Design firm providing landscape architecture services.,,,,0,,,,,0,,,,,0,,,,,0,,,
Labco Electric Contracting Corp.,Lincoln Baker,MBE,3/31/2018,BLACK,5030 Broadway,Suite 704,New York,Manhattan,NY,10034,5030 Broadway,Suite 657,Laurelton,New York,10034,http://www.labcoelectric.com,4/14/2011,,,"Worked with tools in the installation, alteration and repair or wiring and appliances for electric light, heat and power in or on buildings or comparable facilities.",,,Building Maintenance Corp / NYC DPR,0,,06-01-2013,Basic wiring,NYC HPD,0,,08-01-2013,Basic wiring,NYC ACS,0,,07-01-2013,Basic wiring,,0,,,
"Siwel Consulting, Inc.",Thomas Illari,WBE,,NON-MINORITY,213 West 35th Street,Suite - 12 Floor,New York,Manhattan,NY,10001,213 West 35th Street,Suite - 12 Floor,New York,New York,10001,http://www.siwel.com,8/24/1992,2000000,,"Siwel Consulting delivers industry-leading IT services to help your company store, computer, analyze, manage, protect and secure the life-blood of your business: your data. We work with each client to create innovative solutions that optimize IT assets and align IT strategy with overall business objectives. The result is greater operational efficiency and additional revenue opportunities. A Woman-Owned Advocate of Supplier Diversity.",,,,0,,,,,0,,,,,0,,,,,0,,,
Due Torre Corporation,Chris Abbate,WBE,,NON-MINORITY,277 Broadway Suite 201,,New York,Manhattan,NY,10007,277 Broadway Suite 201,,New York,New York,10007,,01-01-2015,,,Public Relations and Marketing,,,Brooklyn Chamber of Commerce,0,100,01-01-2017,Marketing and PR services.,Duravit,0,100,01-01-2017,PR and marketing services for North America (on retainer).,Humanscale,0,100,01-01-2017,PR and Marketing Services (on retainer).,The World Exposition of Ceramic Tile,0,,05-01-2013,4 times a week office cleaning. Maintain all areas clean
2355 2nd Avenue Corp,Lidiya Glushenkova,WBE,,NON-MINORITY,2355 2nd Avenue,,New York,Manhattan,NY,10035,2355 2nd Avenue,2nd fl,New York,New York,10035,http://quickrxpharm.com,09-08-2005,50000,,An open-door pharmacy that services a variety of patients. Fills maintenance retail prescriptions.,,,,0,,,,,0,,,,,0,,,,,0,,,
"Harlem Hip-Hop Tours, LLC",Adrienne Smith,"MBE,WBE",01/31/2018;01/31/2018,BLACK,69 West 106th Street,Suite 5B,New York,Manhattan,NY,10025,69 West 106th Street,Suite 5B,New York,New York,10025,http://www.harlemhiphoptours.com,06-02-2006,,,Harlem Hip-Hop Tours field trips and activities relating to Harlem and New York City's Hip-Hop industry to schools and tourist groups from around the world.,,,,0,,,,,0,,,,,0,,,,,0,,1/27/2017,architecture
"CP Language Institute, Inc.",Danny Hsiao,MBE,4/30/2018,ASIAN,225 West 34 Street,Suite 801,New York,Manhattan,NY,10122,225 West 34 Street,9th floor,New York,New York,10122,http://www.cpli.com,01-01-2013,,,"CP Language provides localization, translation and interpretation services in nearly any language for any subject matter.",,,Elmhurst Hospital,0,,01-01-2013,(Ongoing job) On-site foreign language interpreters for assisting patients and medical staff,NYC Department of Health,0,,01-01-2013,(Ongoing job) Document translation and proofreading services in multiple foreign languages,Queens Hospital,0,,5/20/2013,Provide Queens Hospital eith on-site Arabic Interpretation,Elmhurst Hospital,0,,,
Korin Japanese Trading Corp.,John Wong,"MBE,WBE",01/31/2018;01/31/2018,ASIAN,233 Broadway,Suite 1801,New York,Manhattan,NY,10279,57 Warren Street,,New York,New York,10007,http://www.korin.com,3/16/1983,,,"Wholesale & retail distribution of fine japanese tableware, kitchenware and professional chef knives to kitchens, chefs, restaurants & hotels.",,,,0,,,,,0,,,,,0,,,,,0,,,
"Business Pipeline, Inc.",Jacqueline Edwards,"MBE,WBE",01/30/2023;01/30/2023,BLACK,1562 First Ave.,Suite 205-2688,New York,Manhattan,NY,10028,180 Edgecombe Avenue,Suite 2G,New York,New York,10030,http://www.businesspipeline.com,03-07-2003,,,"Business Pipeline is a business management firm delivering bookkeeping, business consulting, marketing and training services to small business and entrepreneurs since 1992 to help them start, run, manage and grow their business. They have been certified QuickBooks Pro Advisors since 2000 practicing GAAP accounting methods in the set-up, management and training for the software.",,,,0,,,,,0,,,,,0,,,,,0,,,
"Sainteus Agency, LLC",George Sainteus,MBE,1/30/2023,BLACK,2307 Adam Clayton Powell Jr. Blvd,,New York,Manhattan,NY,10030,2307 Adam Clayton Powell Jr. Blvd,,New York,New York,10030,http://www.agents.farmers.com/nyharlem/george-sainteus,08-08-2011,,,"Insurance agency which specializes in offering Home, Auto, Business, Life and Health insurance products to individuals and businesses. For businesses we can offer Workers Comp, General Liability, professional Liability, surety Bonds, Disability, Key Man life insurance, Umbrella, and Property insurance products.",,,,0,,,,,0,,,,,0,,,,,0,,02-01-2017,Relocation & reconfiguration of existing office furniture.
"Simmons Grant, PLLC",Kisshia Simmons,"MBE,WBE",12/30/2020;12/30/2020,BLACK,"295 Madison Avenue, 12th Floor",10th Floor,New York,Manhattan,NY,10017,122 West 27th Street,10th Floor,New York,New York,10001,http://www.simmonsgrant.com,07-12-2010,,,"Simmons Grant law firm provides legal counsel and case-specific advice and analysis.  Our cases scan the scope of employment, civil rights, immigration, general litigation and transactional matters. As a minority and women-owned small business with NYC and SBA 8(a) certification, Simmons Grant is committed to excellence and competent solutions.",,,,0,,,,,0,,,,,0,,,,,0,,06-01-2012,"Master planning of 39 acre mixed use development concept design to construction docs of signature museum building in mixed use complex, landscape, curtainwall, exibition, lighting, design inclusive"
NCheng LLP Certified Public Accountants,Nerou Cheng,MBE,1/30/2023,ASIAN,40 wall Street,Suite 3222,New York,Manhattan,NY,10005,40 wall Street,Suite 3222,New York,New York,10005,http://www.ncheng.com,05-10-2016,,,"Provide accounting, auditing, tax and consulting services to non-profits organizations, government agencies and business entities.",,,,0,,,,,0,,,,,0,,,,,0,,08-01-2016,"Supplied hollow metal doors, frames, wood doors, frames, and hardware."
Teri Bloom Photography Inc.,Teri Bloom,WBE,,NON-MINORITY,300 Mercer Street,#6C,New York,Manhattan,NY,10003,300 Mercer Street,#6C,New York,New York,10003,http://www.teribloom.com,01-01-1991,,,"I am a professional photographer. I cover photography assignments for the public and private sectors, specializing in photojournalistic event and portrait photography.",,,,0,,,,,0,,,,,0,,,,,0,,7/20/2016,Furnished and installed new main command security console
LOT/EK Corp.,Ada Tolla,WBE,,NON-MINORITY,181 Chrystie Street,2,New York,Manhattan,NY,10002,181 Chrystie Street,2,New York,New York,10002,http://www.lot-ek.com,,,,"Lot-Ek Corp. is a design office based in NY. It is involved in residential, commercial and institutional projects in the US & abroad. Lot-Ek has achieved high visibility in the architectural, design, art world for its innovative approach to construction, materials and sustainability.",,,,0,,,,,0,,,,,0,,,,,0,,01-02-2015,Various NY State DGS Jobs
"Gregory Switzer Architecture, P.C.",Gregory Switzer,MBE,10/31/2018,BLACK,255 West 36th Street,Suite 1101,New York,Manhattan,NY,10018,255 West 36th Street,Suite 1101,New York,New York,10018,http://www.switzerpc.com,,,,"Full service architectural practice specializing in corporate interiors, gut rehabs, small building design , residential structures, space planning, feasibility studies and architectural design & planning.",,,,0,,,,,0,,,,,0,,,,,0,,,
Iris Development LLC,Wendy Hoffman,MBE,6/29/2022,ASIAN,423 West 127th PH,,New York City,Manhattan,NY,10027,,,,,,,07-11-2012,,,"Iris Development is an ambitious team of real estate professionals with the shared commitment of providing high-quality rental and for-sale housing solutions. The Iris team draws from a wealth of local, national and international experience and education in fields such as construction management, ground-up development, design, sustainability, and financial management.",No,Residential Building Construction,,0,,,,,0,,,,,0,,,,,0,,02-01-2013,Prepare design contract drawings and specification for seven passenger elevators and provide construction support services.
Vital Connections Inc.,Tom Pitts,MBE,2/27/2022,BLACK,239 W 131,,NY,Manhattan,NY,10027,239 W 131,,NY,New York,10027,http://www.yopittsfoods.com,03-10-1995,,,Marketing and advertising services,,,,0,,,,,0,,,,,0,,,,,0,,,
"D. Seaton and Associates, P. A., P.C.",Tracy Seaton,MBE,6/29/2022,BLACK,245 Park Ave 39th Fl.,,NY,Manhattan,NY,10167,,,,,,http://www.dseatonaa.com,11-11-1999,,,Law firm specializing in public finance. The firm also provides public policy consulting and mediation services.,,,Metropolitan Transportation Authority,0,100,3/16/2017,Assisted client with legal service re-financing.,Empire State Development (and Affiliates),0,100,9/22/2016,Assisted client with legal service re-financing,Dormitory Authority of the State of New York,0,100,02-01-2017,Assisted client with legal service re-financing.,New York Transportation Development Corporation,0,,10-01-2015,Manufactured nail poslish and delivered to warehouse
"JLC Environmental Consultants, Inc.",Suraj Jaswal,WBE,,NON-MINORITY,243 West 30th Street Suite 701,,NY,Manhattan,NY,10001,243 West 30th Street,Suite 701,NY,New York,10001,http://www.jlcenvironmental.com,08-01-1987,1500000,,"Environmental consulting and testing for asbestors, lead, mold, water and air quality testing, soil; laboratory analaysis of asbestos and lead samples; training for asbestos and OSHA HAZWOPER courses.",,,"Milrose Consultants,Inc",0,100,07-01-2017,Abestos Inpections,ACS NYC,0,,08-01-2011,Air  Monitorning,NYCHA,0,100,08-01-2015,Lead inspections,"AKRF, Inc.",0,,6/30/2016,Commercial District Needs Assessment-Marketing & Feasibility Study
Asenya Design,Araba Simpson,"MBE,WBE",07/31/2018;07/31/2018,BLACK,242 West 138th Street,#6,New York,Manhattan,NY,10030,242 West 138th Street,# 6,New York,New York,10030,http://www.asenya.com,02-01-2007,,,"Asenya is a full service design agency, specializing in branding, design strategy, printed materials including; posters, flyers, packaging, editorial design, signage, websites, annual reports, invitation packages, and journals. We also create decorative home furnishings.",,,Apollo Theater,0,,05-01-2010,Design of print & digital materials for various events. Art directed the Redesign of Apollo soundstage space.,Abyssinian Development Corp.,10000,,06-01-2013,"Design of all event materials for the 2013 HRDC Leadership Breakfast. Including: Invite, journal, posters, etc.",Lolly Wolly Doodle,5000,,08-01-2012,Logo redesign and brand identity refresh.,,0,,08-01-2012,"Brick Pointing, Concrete and Painting"
Robin Key Landscape Architecture,Gareth Mahon,WBE,,NON-MINORITY,333 Hudson Street,Suite 1001,New York,Manhattan,NY,10013,333 Hudson Street,Suite 1001,New York,New York,10013,http://www.rklastudio.com,12/15/1999,,,"We are a full service landscape architecture firm with a diverse range of projects including institutional, multi-family housing, residential properties, parks and historic preservation. Services include site analysis and feasibility studies, local government and agency permitting, NYC Landmark preservation commission presentations, public design commission presentations, sub consultants management, bidding & negotiation, budgeting, and construction administration.",No,"Building Construction (non-Residential); Residential Building Construction; Site work, i.e. Parks",Saint Patrick's Cathedral,0,,7/31/2007,Master plan and construction; administration for a residential project emphasizing green design and native plantings,East Hampton Private Residence,56000,,5/31/2009,"Landscape architectural services for new pedestrian streetscape, communal roof terrace and courtyard",Hamilton Square Condominiums,55000,,1/31/2009,Completion of master plan for new outdoor terrace garden and development of restoration plan for perimeter gardens.,,0,,04-01-2012,"Design drawings, fabricate/install sheet metal ductwork and install all accessories for sheetmetal ducts."
Brown Hutchinson LLP,T. Andrew Brown,MBE,9/30/2020,BLACK,"245 Park Avenue, 39th Floor",2 State Street,New York,Manhattan,NY,10167,"245 Park Avenue, 39th Floor",2 State Street,New York,New York,10167,http://www.brownhutchinson.com,01-01-1994,,,Legal Services,,,"DASNY, Dormitory Authority State of New York",0,100,9/25/2017,"Legal Services, Litigation Defense, Insurance Coverage Counsel, etc.","Walmart Store, Inc.",100000,100,9/25/2017,"Civil Litigation, Premises Liability, Product Liability","Cannon Industries, Inc.",40000,100,9/25/2017,"General Legal Services, Litigation, Business Counsel",,0,,,
Marine Infrastructure Engineering Solutions P.C.,Jeremy Pope,WBE,,NON-MINORITY,"708 3rd Avenue, 5th Floor",,New York,Manhattan,NY,10017,"708 3rd Avenue, 5th Floor",,New York,New York,10017,http://www.MSImarinesolutions.com,5/30/2014,,,"Marine Solutions provides marine and bridge engineering services to include above and below water inspections and assessments, design and hydrographic surveying.",No,Bridge and/or Roadways,COWI (formerly Ocean and Coastal Consultants),0,100,03-09-2015,"The project consists of providing on-call maritime engineering services at various waterfront facilities in and around New York Harbor. The project includes above water and underwater inspections, Le",COWI (formerly Ocean and Coastal Consultants),10000000,,03-09-2015,"The project consists of providing on-call maritime engineering services at various waterfront facilities in and around New York Harbor. The project includes above water and underwater inspections, Le",,0,,,,,0,,08-01-2012,"Receives, stores and delivers to jobsite various HVAC equipment. Also provide rigging labor to move all equipment in to place in accordance with rigging plans"
WhyNotGetMarried.com,Michele Madison,"MBE,WBE",07/30/2019;07/30/2019,BLACK,2330 5th Avenue,Suite8M,New York,Manhattan,NY,10037,2330 5th Avenue,8M,New York,New York,10037,http://whynotgetmarried.com,2/16/1999,,,"Extravagant unforgettable and unique wedding collections Caribbean wedding sets, reception gifts, anniversary gifts and more.  Plus we can match different colors to enhance your theme.",,,Judith A. Newman,20,100,02-01-2014,Cake Top,Marvin Culler,20,100,02-01-2014,Cake Top,Judith Newman,20,100,02-01-2014,Cake Top,,0,,,
"SSB Business Solutions, Inc.",Sharyn St. Bernard,"MBE,WBE",03/30/2022;03/30/2022,BLACK,85 Delancey Street,,New York,Manhattan,NY,10002,85 Delancey Street,,New York,New York,10002,http://www.creditcaregenies.com,6/15/2015,,,"SSB Business Solutions provides strategic planning, marketing analysis, proposals, RFP's, credit counseling & education, training & development of staff, recruitment, small event planning.",,,Keisha Campbell,25,100,05-01-2016,Credit counseling services per month.,Sam Varghese,60,100,06-01-2016,Performed profession C.V.,Letha Scott,150,100,12-01-2015,Flat fee for credit services.,,0,,,
Xpress Transport & Multi Service Inc,Miguel Pieter,MBE,10/30/2021,HISPANIC,2326 Amsterdam Avenue,,New York,Manhattan,NY,10033,2326 Amsterdam Avenue,,New York,New York,10033,,02-02-2008,,,"Xpress Transport & Multiservice, Inc. is a taxi service and medical transportation company. We offer wheelchair dispatching services with the most experienced drivers licensed by the NYC Taxi & Limousine Commission.",,,MTM,38.37,100,08-01-2016,14.52 mile trip to Dr.'s office.,MTM,60.3,100,07-04-2016,Pick up and drop off at work place.,MTM,270.78,100,7/21/2016,Pick up and drop off at destination.,,0,,,
"Nexus Consortium, Inc",George Riesco,MBE,6/29/2021,HISPANIC,80 Broad Street,,New York,Manhattan,NY,10004,"1933 HWY 35, #356",5th Fl.,Wall,New Jersey,7719,http://www.nexusnet.com,05-01-1995,,,"Nexus is a provider of data center enterprise solutions with over 20 years of experience implementing and serving on premise and off premise, cloud, system,, and infrastructure solutions for enterprise environments within government, healthcare, corporate, and financial entities. Our firms specialty incudes policy compliance, NOC/SOC capabilities, storage, security, monitoring, optimizing data centers, and other IT services.",,,NYPD,50,,01-01-2015,Implementation services,NTC MTA,50,,11/17/2014,RSA secure ID,PANYNJ,50,,01-01-2016,Maintenace 3yrs,NYPD,50,,,
Strollin Pawz,Cheryl Hayes,"MBE,WBE",03/31/2019;03/31/2019,BLACK,610 West 143rd Street,Suite #6C,New York,Manhattan,NY,10031,610 West 143rd Street,Suite #6C,New York,New York,10031,,12/13/2010,,,"Certified master groomer, bathe and style cats and dogs, nails clipped, ears cleaned, specializing in poodle clips and schnauzer cuts.",,,Delores Isaac,50,,06-01-2013,Groom Client's Dog,Shana Mitchell,60,,06-01-2013,Groom Client's Dog,Regan Isaac,60,,07-01-2013,Groom Client's Dog,,0,,,
"Fierce Subtlety, LLC",Monet Bramwell,"MBE,WBE",02/28/2019;02/28/2019,BLACK,290 West 137th Street,# 3,New York,Manhattan,NY,10030,244 Fifth aVenue,Suite # M250,New York,New York,10001,http://www.fiercesubtlety.com,12/18/2009,,,"Fierce Subtlety, LLC (FS) offers a variety of wardrobe related services that will provide you with a personalize experience. The company is available to keep clients in sync with trends and to enhance an individuals personal style. FS assists in elminating stress and worry and helps to save time for clients that lead a busy life style.",,,erick deberry,50,,06-01-2013,personnal shopper,amanda brown,500,,10-01-2010,clothing budget,dulyne@yahoo.com,53.79,,12/19/2013,clothing,,0,,04-01-2016,air testing and balancing
"C&C School of Hair Design, LLC",Rochelle Hunter-Mosley,"MBE,WBE",06/29/2022;06/29/2022,BLACK,2311 Adam Clayton Powell Jr. Blvd,,New York,Manhattan,NY,10030,2311 Adam Clayton Powell Jr. Blvd,,New York,New York,10030,http://www.salon804nyc.com,06-09-2009,,,"C&C School of Hair Design LLC, dba Salon 804 II is a hair care salon. It currently provides the following services: shampoo & styles, cuts, deep conditioning treatments, weave installation. We recently added Trichology services: scalp scanning, exfoliation, blood type testing, Meal planning and metabolic weighing.",,,Ebonie M. Carrington,55,,04-07-2017,Shampoo & Style.,Debra Fraser,110,100,4/15/2017,Shampoo & style with cut and color.,C. Virginia Fields,55,100,04-07-2017,Shampoo and style with cut.,,0,,,
"HotSexyFit, Inc",Jenny D'Andrea,"MBE,WBE",11/29/2022;11/29/2022,BLACK,35 W. 125th Street,#9,New York,Manhattan,NY,10027,35 W. 125th Street,#9,New York,New York,10027,http://www.hotsexyfit.com,11/27/2006,,,"Currently jeans, other section will be job agency, hair dressing.",,,Tasha Manney,100,100,4/25/2017,Jeans purchase,,0,,,,,0,,,,,0,,,
New Millinneum Builders LLC,Christine Green,"MBE,WBE",05/31/2018;05/31/2018,BLACK,2473 Frederick Douglass Blvd,,New York,Manhattan,NY,10027,928 Shepard Avenue,,Hamden,Connecticut,6514,http://www.newmillinneumbuilders.com,2/14/2006,,,"Carpentry - Rough and Interior, Framing, Sheetrock, Taping, Plaster, Painting, Tile Decking and Exterior Landscape and Masonry. Safety - training, audits, plans and programs. Project Managment - educational workshops, technical assistance, contract development, compliance audits, project reports, documentation and controls.",,,Kiska Construction,100,,07-01-2009,"Carpentry subcontractor, masonry, framing, sheetrock, structural decking, aluminum panels, roofing.",HAR-MART,100,,08-01-2015,Osha training for 122 employees.,New Haven Board of Education,100,,07-01-2015,OSHA training for high school students.,,0,,,
"Labor Management Concepts, Inc.",Denise Munro,WBE,,NON-MINORITY,230 Park Avenue,Suite 464,New York,Manhattan,NY,10169,200 Belleville Turnpike,,North Arlington,New Jersey,7031,http://www.lmcsecurity.com,10/23/1989,,,"LMC Security provides professional, cost-effective security services that combine efficient, responsive security and access control with a level customer service that enhances our clientÂ¿s facility. Services include: guard services, access control, investigations, special operations/events.",,,Tishman JTS,100,,09-01-2016,Supply Security,DVL Kearny Holdings,100,,08-01-2014,Supply Security,Vaughn College,100,,08-01-2015,Supply Security,Tutor Perini,100,,,
Word Art by ShalomIsrael,ShalomIsrael Diggs,"MBE,WBE",03/30/2022;03/30/2022,BLACK,260 Convent Avenue,# 51,New York,Manhattan,NY,10031,260 Convent Avenue,# 51,New York,New York,10031,http://www.wordartbyshalomisrael.com,01-01-2014,,,"The mission of AlphaKey ClubÂ¿ Art & Dance Youth Workshops is to encourage empathy, creativity, understanding, self-esteem and commitment to self and others through art and dance. The curriculum of AlphaKey ClubÂ¿ is unique, based upon the 26 letters of the English alphabet. It embraces the NYC Blueprints for Art and Dance that develop a deeper understanding of the arts and how they relate to their communities. It is one of the only of itÂ¿s kind to incorporate art, dance, and sport into a curriculum that provides a glimpse of the possibilities available to each student.",,,Convent Family Living Center,100,100,02-01-2016,Art/dance workshops.,The Arts @ Henson Park,100,100,1/28/2017,Art Workshop.,Manhattan Children's Museum,350,100,07-06-2017,"AlphaKey ClubÂ¿ Art & Dance workshop. Throught creative movement dance, particpants learn to be bold. AlphaKey ClubÂ¿ focuses on sharing a message of empathy, confidence and commitment utilizing dance!",PS 9,600,,,
Compton Optometry P.C.,Jason Compton,MBE,8/31/2019,BLACK,4738 Broadway,,New York,Manhattan,NY,10040,4738 Broadway,,New York,New York,10040,http://www.comptoneye.com,06-01-2008,,,"Compton Optometry offers eyecare. This brick and mortar location provides eye exams, contact lenses and glasses.",,,Patient 1,135,100,2/21/2017,Eye exam and contact lenses,Patient 2,125,100,2/21/2017,eye exam,Patient 3,125,100,2/21/2017,eye exam,,0,,,
Fiden & Norris LLP,Joan Fiden,WBE,,NON-MINORITY,845 Third Avenue,11th Floor,New York,Manhattan,NY,10022,845 Third Avenue,11th Floor,New York,New York,10022,http://FidenNorrisLaw.com,01-01-1995,,,We are a law firm which provides legal services,,,MTA Bus Co.,150,100,11/22/2016,Provide legal representation to MTA bus through trial.,RLI Insurance Company,45661,100,01-01-2014,"Provide legal representation of defendant insured by RLI personal injury action including court appearance, questions, motion and mediation.",Jones Lang LaSalle,7575,100,2/20/2015,"Provide legal representation to Jones Lang LaSalle in this persoanl injury action including drafting, court appearance and deposition.",,0,,06-01-2014,Installed Lignting
Margaret McLeod Sullivan LLC,Lindsay McComas,WBE,,NON-MINORITY,307 7th Avenue,Room 504,New York,New York,NY,10001,307 7th Avenue,Room 504,New York,New York,10001,http://www.margaretsullivanllc.com,1/15/2014,,,"We are a full service Interior Design and Architecture firm specializing in cultural and educational institutions such as public libraries, theaters and museums.  Our expertise lies in visioning, programming, and designing educational institutions for the 21st century.",,,DC Public Library,100,,3/15/2015,The scope was to conduct 2 different workshops strategic planning,Las Vegas-Clark County,65,,03-01-2014,Designer for a series os projects,Richard Library,70,,3/14/2014,Re-envisioning of the main library,,0,,4/15/2014,Educational products for special needs and autistic students.
